"cle";"francais";"malagasy";"statut";"remarque"
"guideDisease3Symptoms";"• Taches noires angulaires sur les feuilles\n• Lésions sur les gaines foliaires\n• Spores noires poudreuses\n• Affaiblissement général de la plante";"• Pentina mainty misy zoro eo amin'ny ravina\n• Fery eo amin'ny fonon-dravina\n• Vovoka mainty\n• Mihamalemy ny zavamaniry";"à relire";""
"guideDisease3Causes";"• Humidité élevée prolongée\n• Températures modérées (20-25°C)\n• Densité de semis élevée\n• Mauvais drainage";"• Hamandoana ambony maharitra\n• Hafanana antonony (20-25°C)\n• Famafazana mifanety loatra\n• Fivoahan-drano ratsy";"à relire";""
"guideDisease4Name";"Plante saine";"Zavamaniry salama";"à relire";""
"guideDisease4Desc";"Votre plant de riz ne présente aucun signe de maladie. Continuez à appliquer les bonnes pratiques agricoles pour maintenir la santé de vos cultures.";"Tsy ahitana soritr'aretina ny varinao. Tohizo ny fampiharana ny fomba fambolena tsara mba hitazomana ny fahasalaman'ny volinao.";"à relire";""
"guideDisease4Symptoms";"• Feuilles vertes et vigoureuses\n• Croissance régulière\n• Pas de lésions ni de décoloration\n• Tallage normal";"• Ravina maitso sy matanjaka\n• Fitomboana ara-dalàna\n• Tsy misy fery na fiovan'ny loko\n• Fitsimohana ara-dalàna";"à relire";""
"guideDisease4Causes";"Bonnes pratiques agricoles :";"Fomba fambolena tsara :";"à relire";""
"guidesDisclaimer";"Ces fiches aident à reconnaître une maladie. Avant tout traitement, demandez conseil à un technicien agricole.";"Ireo takelaka ireo dia manampy amin'ny famantarana aretina. Alohan'ny fitsaboana rehetra, manontania teknisianina momba ny fambolena.";"à relire";""
"guidesAdvice";"Gestes recommandés";"Fihetsika atoro";"à relire";""
"guidesHealthySigns";"Signes d'une plante saine";"Famantarana ny vary salama";"à relire";""
"journalHistorySubtitle";"Historique des analyses";"Tantaran'ny fanadihadiana";"à relire";""
"journalHistoryEmptyTitle";"Aucune analyse";"Tsy misy fanadihadiana";"à relire";""
"journalHistoryEmptyDescription";"Vos diagnostics récents apparaîtront ici";"Hiseho eto ireo fanadihadiana natao farany";"à relire";""
"journalStartDiagnosis";"Faire un diagnostic";"Hanao fanadihadiana";"à relire";""
"exportNothing";"Aucun diagnostic à exporter";"Tsy misy fanadihadiana azo alefa";"à relire";""
"exportAction";"Exporter";"Hanondrana";"à relire";""
"exportAsCsv";"Exporter en CSV";"Hanondrana ho CSV";"à relire";""
"exportAsPdf";"Exporter en PDF";"Hanondrana ho PDF";"à relire";""
"exportShareText";"Journal agricole AgriMada";"Boky ara-pambolena AgriMada";"à relire";""
"exportDone";"Export prêt à être partagé";"Vonona hozaraina ny rakitra";"à relire";""
"parcelDetailTitle";"Détail de la parcelle";"Antsipirian'ny tanimbary";"à relire";""
"parcelDetailNewAnalysis";"Faire une nouvelle analyse";"Hanao fanadihadiana vaovao";"à relire";""
"parcelDetailNotFound";"Parcelle introuvable";"Tsy hita ny tanimbary";"à relire";""
"parcelDetailNoAnalysis";"Aucune analyse pour cette parcelle";"Tsy mbola nisy fanadihadiana tamin'ity tanimbary ity";"à relire";""
"parcelDetailNotAnalyzedYet";"Cette parcelle n'a pas encore été analysée";"Mbola tsy nohadihadiana ity tanimbary ity";"à relire";""
"parcelDetailHealthStatus";"État de santé";"Toe-pahasalamana";"à relire";""
"registerLastNameLabel";"Nom";"Anarana";"à relire";""
"registerFirstNameLabel";"Prénom";"Fanampin'anarana";"à relire";""
"registerRegionLabel";"Région";"Faritra";"à relire";""
"registerFieldRequired";"Champ requis";"Tsy maintsy fenoina";"à relire";""
"registerPhoneInvalid";"Numéro invalide";"Laharana tsy mety";"à relire";""
"registerPasswordTooShort";"Minimum 8 caractères";"Litera 8 farafahakeliny";"à relire";""
"registerPasswordMismatch";"Les mots de passe ne correspondent pas";"Tsy mitovy ny teny miafina roa";"à relire";""
"splashLogoSemantics";"Logo AgriMada";"Sary famantarana AgriMada";"à relire";""
"syncInProgress";"Synchronisation…";"Fandefasana ny angona…";"à relire";""
"scanAskTechnician";"Demander à un technicien";"Manontany teknisianina";"à relire";""
"scanAskTechnicianMessage";"Bonjour, l'application AgriMada n'a pas pu identifier avec certitude le problème sur mon riz. Pouvez-vous regarder la photo ?";"Manao ahoana, tsy nahafantatra tsara ny olana amin'ny variko ny fampiharana AgriMada. Azonao jerena ve ny sary ?";"à relire";""
"scanAskTechnicianCandidates";"Pistes de l'application, non confirmées : {candidates}";"Soso-kevitry ny fampiharana, tsy voamarina : {candidates}";"à relire";""
"journalFilterAll";"Tous";"Rehetra";"à relire";""
"journalFilterLastSevenDays";"7 derniers jours";"7 andro farany";"à relire";""
"journalFilterSevere";"Plus d'un tiers touché";"Mihoatra ny ampahatelony voa";"à relire";""
"journalFilterHealthy";"Sains";"Salama";"à relire";""
"journalFilterEmpty";"Aucune analyse ne correspond à ce filtre";"Tsy misy fanadihadiana mifanaraka amin'ity sivana ity";"à relire";""
"errorInvalidCredentials";"Numéro de téléphone ou mot de passe incorrect";"Diso ny laharana finday na ny teny miafina";"à relire";""
"errorTooManyAttempts";"Trop de tentatives. Réessayez dans quelques minutes.";"Andrana be loatra. Andramo indray afaka minitra vitsivitsy.";"à relire";""
"errorPhoneAlreadyUsed";"Ce numéro de téléphone a déjà un compte";"Efa manana kaonty ity laharana finday ity";"à relire";""
"errorInvalidData";"Informations invalides. Vérifiez les champs.";"Diso ny fampahalalana. Hamarino ireo saha.";"à relire";""
"errorOffline";"Pas de connexion internet";"Tsy misy aterineto";"à relire";""
"errorTimeout";"Le serveur met trop de temps à répondre. Réessayez.";"Ela loatra ny valin'ny mpizara. Andramo indray.";"à relire";""
"errorSessionExpired";"Reconnectez-vous pour synchroniser vos données";"Midira indray mba handefasana ny angonao";"à relire";""
"errorServer";"Le serveur a rencontré un problème. Réessayez plus tard.";"Nisy olana tamin'ny mpizara. Andramo indray any aoriana.";"à relire";""
"errorUnknown";"Une erreur est survenue. Réessayez.";"Nisy hadisoana. Andramo indray.";"à relire";""
"syncErrorServerUnreachable";"Serveur injoignable. Vérifiez la connexion ou l'adresse du serveur.";"Tsy tratra ny mpizara. Hamarino ny fifandraisana na ny adiresin'ny mpizara.";"à relire";""
"syncErrorFailed";"La synchronisation a échoué. Nouvel essai au retour du réseau.";"Tsy nahomby ny fandefasana. Hanandrana indray rehefa misy tambajotra.";"à relire";""
"resetPasswordRequestSent";"Si ce numéro est associé à un compte, des instructions seront envoyées.";"Raha misy kaonty mifandray amin'ity laharana ity, dia halefa ny torolalana.";"à relire";""
"journalStatusToConfirm";"À confirmer";"Tokony hamafisina";"à relire";""
